,회차,당첨번호
0,0,"['', '', '', '', '', '']"
1,1,"['10', '23', '29', '33', '37', '40']"
2,2,"['9', '13', '21', '25', '32', '42']"
3,3,"['11', '16', '19', '21', '27', '31']"
4,4,"['14', '27', '30', '31', '40', '42']"
5,5,"['16', '24', '29', '40', '41', '42']"
6,6,"['14', '15', '26', '27', '40', '42']"
7,7,"['2', '9', '16', '25', '26', '40']"
8,8,"['8', '19', '25', '34', '37', '39']"
9,9,"['2', '4', '16', '17', '36', '39']"
10,10,"['9', '25', '30', '33', '41', '44']"
11,11,"['1', '7', '36', '37', '41', '42']"
12,12,"['2', '11', '21', '25', '39', '45']"
13,13,"['22', '23', '25', '37', '38', '42']"
14,14,"['2', '6', '12', '31', '33', '40']"
15,15,"['3', '4', '16', '30', '31', '37']"
16,16,"['6', '7', '24', '37', '38', '40']"
17,17,"['3', '4', '9', '17', '32', '37']"
18,18,"['3', '12', '13', '19', '32', '35']"
19,19,"['6', '30', '38', '39', '40', '43']"
20,20,"['10', '14', '18', '20', '23', '30']"
21,21,"['6', '12', '17', '18', '31', '32']"
22,22,"['4', '5', '6', '8', '17', '39']"
23,23,"['5', '13', '17', '18', '33', '42']"
24,24,"['7', '8', '27', '29', '36', '43']"
25,25,"['2', '4', '21', '26', '43', '44']"
26,26,"['4', '5', '7', '18', '20', '25']"
27,27,"['1', '20', '26', '28', '37', '43']"
28,28,"['9', '18', '23', '25', '35', '37']"
29,29,"['1', '5', '13', '34', '39', '40']"
30,30,"['8', '17', '20', '35', '36', '44']"
31,31,"['7', '9', '18', '23', '28', '35']"
32,32,"['6', '14', '19', '25', '34', '44']"
33,33,"['4', '7', '32', '33', '40', '41']"
34,34,"['9', '26', '35', '37', '40', '42']"
35,35,"['2', '3', '11', '26', '37', '43']"
36,36,"['1', '10', '23', '26', '28', '40']"
37,37,"['7', '27', '30', '33', '35', '37']"
38,38,"['16', '17', '22', '30', '37', '43']"
39,39,"['6', '7', '13', '15', '21', '43']"
40,40,"['7', '13', '18', '19', '25', '26']"
41,41,"['13', '20', '23', '35', '38', '43']"
42,42,"['17', '18', '19', '21', '23', '32']"
43,43,"['6', '31', '35', '38', '39', '44']"
44,44,"['3', '11', '21', '30', '38', '45']"
45,45,"['1', '10', '20', '27', '33', '35']"
46,46,"['8', '13', '15', '23', '31', '38']"
47,47,"['14', '17', '26', '31', '36', '45']"
48,48,"['6', '10', '18', '26', '37', '38']"
49,49,"['4', '7', '16', '19', '33', '40']"
50,50,"['2', '10', '12', '15', '22', '44']"
51,51,"['2', '3', '11', '16', '26', '44']"
52,52,"['2', '4', '15', '16', '20', '29']"
